state_id,reflection_partner_id,case,mesh,requested_amplitude,node,x,u,v
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,33,2.8874999999999997,9.990891561933145,9.997825859082795
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,34,2.9749999999999996,9.988219806352697,9.997191475512732
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,35,3.0625,9.985837962728588,9.996625781284678
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,36,3.15,9.983804344141817,9.996142681292445
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,37,3.2375,9.982168689463972,9.995754046694024
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,38,3.3249999999999997,9.9809709713922,9.995469424986899
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,39,3.4124999999999996,9.98024044171493,9.995295807065109
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p02,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p02,hm-a10-g1-L3p5-n2-beta2,40,-0.02,40,3.5,9.979994934446305,9.995237456784283
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p01,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p01,hm-a10-g1-L3p5-n2-beta2,40,-0.01,0,0.0,9.989998734650756,9.997623436069313
hm-a10-g1-L3p5-n2-beta2__N0040__Aminus_0p01,hm-a10-g1-L3p5-n2-beta2__N0040__Aplus_0p01,hm-a10-g1-L3p5-n2-beta2,40,-0.01,1,0.0875,9.990121669652398,9.997652624379432
